,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_03715,314,340,438,144,294,284,528,556,329,12587,9568,15058,25923,17431,20483,"fig|536231.75.peg.3869|RIL182_03715   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03716,44,63,56,37,27,50,53,11,71,424,840,654,6407,4562,3961,"fig|536231.75.peg.3870|RIL182_03716   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03717,156,142,165,68,58,64,63,96,45,4297,3261,5334,13295,9465,10950,"fig|536231.75.peg.3871|RIL182_03717   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03718,141,199,209,187,209,240,151,144,172,5842,6367,7164,31805.222,22054,22409,"fig|536231.75.peg.3872|RIL182_03718   Aminotransferase, DegT/DnrJ/EryC1/StrS family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03719,135,259,233,201,174,223,218,204,144,7837,6952,8166,42607,34306,34966,"fig|536231.75.peg.3873|RIL182_03719   Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03720,151,317,371,204,293,240,436,705,348,20709,19410.149,23510,45819,33291,33543,"fig|536231.75.peg.3874|RIL182_03720   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03721,250,314,312,176,265,212,236,243,198,9971,10010,11362,22234,15504,16102,"fig|536231.75.peg.3875|RIL182_03721   Imidazole glycerol phosphate synthase cyclase subunit   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03722,303,664,670,214,204,204,250,163,115,6650,7494,7009,25669,20113,20799,"fig|536231.75.peg.3876|RIL182_03722   Imidazole glycerol phosphate synthase amidotransferase subunit HisH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03723,762,1437,1534,386,474,467,313,721,412,23999,18925,27843,51382,33857,40790,"fig|536231.75.peg.3877|RIL182_03723   Pseudaminic acid biosynthesis protein PseA, possible Pse5Ac7Ac acetamidino synthase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03724,368,758,992,215,225,199,122,207,82,10865,9990,12768,20259,15985,19367,"fig|536231.75.peg.3878|RIL182_03724   UDP-N-acetylglucosamine 4,6-dehydratase (inverting) (EC 4.2.1.115)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03725,159,183,188,6,27,15,0,0,0,69,121,132,502,387,393,"fig|536231.75.peg.3879|RIL182_03725   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03726,62,96,106,21,6,5,0,0,0,43,63,35,280,196,241,"fig|536231.75.peg.3880|RIL182_03726   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03727,249,467,396,192,323,282,1023,1315,905,36885.267,30900.887,39577.923,58647.424,42106.188,43084.476,"fig|536231.75.peg.3881|RIL182_03727   Motility accessory factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03728,17.06,44.982,35,32.028,29,18,78.406,60,44,2174.017,1968.81,2041.796,4543.784,4027.959,3442.158,"fig|536231.75.peg.3882|RIL182_03728   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03729,29427.94,34375.018,37530.496,9474.972,11143,10793,2926.594,5912,3243,95387.716,61778.303,112721.281,233639.792,178797.355,215396.321,"fig|536231.75.peg.3883|RIL182_03729   Flagellin protein FlaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03730,467,646,505,181,208,181,458,299,282,16339,17725,15867.192,29734.035,25049,24603.382,"fig|536231.75.peg.3884|RIL182_03730   FlgN family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03731,81,165,162,101,90,67,77,44,2.119,991,1538,1289.808,10283.47,10683.367,9297.678,"fig|536231.75.peg.3885|RIL182_03731   Flagellar biosynthesis protein FliS   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03733,4695,6719.799,7105,2884,3744,3757,11556,18167,10846,611882.779,446966.958,681026.261,841687.397,652987.347,715612.54,"fig|536231.75.peg.3887|RIL182_03733   Flagellar cap protein FliD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03734,153,407.201,454,225,325,257,74,37,17,847.221,626,990.739,12324.866,10368.08,8029.825,"fig|536231.75.peg.3888|RIL182_03734   Flagellar protein FlaG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03735,85,77.002,69.333,34,53,35,25,25.838,26.406,375.533,513.45,549.645,2573.463,2504.005,2331.172,"fig|536231.75.peg.3889|RIL182_03735   Carbon storage regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03736,604,690.998,758.667,361,422,278,399,590.162,334.594,6449.467,5569.55,6388.355,23696.381,19495.447,20818.608,"fig|536231.75.peg.3890|RIL182_03736   Flagellar assembly factor FliW   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03737,3595,4309,4949,1667,2030,1966,1256,2053,958,44384,37411,54023,191775.731,151395.548,170407.22,"fig|536231.75.peg.3891|RIL182_03737   Flagellar hook-associated protein FlgL   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03738,2667,3417,3422,1348,1611,1528,819,1279,658,33782,28632,41901,122831.774,96079.586,114662,"fig|536231.75.peg.3892|RIL182_03738   Flagellar hook-associated protein FlgK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03739,3379,4561,5177,1518,1861,1890,1132,1994,981,40596,30945,49695,96437,73339.181,84093,"fig|536231.75.peg.3893|RIL182_03739   Flagellar hook-associated protein FlgK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03740,1095,2316.919,2698.707,572.079,681,489,886.911,1154.455,861,45557.801,34857.203,45267.921,30884.9,24657.333,28290.987,"fig|536231.75.peg.3894|RIL182_03740   Flagellar biosynthesis protein FlgN   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03741,401,1199.081,1136.293,408.921,313,219,109.089,104.545,45,3911.199,4445.797,3133.079,10189.1,8244.667,7290.672,"fig|536231.75.peg.3895|RIL182_03741   Negative regulator of flagellin synthesis FlgM (anti-sigma28)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03742,79,173,210,34,13,24,0,0,39,553,574,727,1739,1378,1494,"fig|536231.75.peg.3896|RIL182_03742   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03743,244,303,356,66,70,76,96,86,14,975,1129,1281,4100,2901,3186.687,"fig|536231.75.peg.3897|RIL182_03743   Aminopeptidase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03744,43,146,229,21,29,19,6,62,13,961,841,586,405,288,530,"fig|536231.75.peg.3898|RIL182_03744   Large-conductance mechanosensitive channel   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03745,6,12,9,10,2,6,0,0,19,36,69,86,644,438,681,"fig|536231.75.peg.3899|RIL182_03745   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03746,45,65,65,15,19,14,13,30,0,71,81,65,848,691,762,"fig|536231.75.peg.3900|RIL182_03746   Transcriptional regulator, LysR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03747,210,266.19,444,29,63,40,67,61,32,3479,3170,3838,4434,3381,3449.838,"fig|536231.75.peg.3901|RIL182_03747   Choloylglycine hydrolase (EC 3.5.1.24)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03748,106,127.81,160,37,51,11,61,20,12,959,924,1105,2626,2012,2532.162,"fig|536231.75.peg.3902|RIL182_03748   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03749,22,37,41,1,15,11,4,13,0,117,221,175,346,293,366,"fig|536231.75.peg.3903|RIL182_03749   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3904   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,3,0,0,0,0,0,0,0,0,0,0,1,7,0,"fig|536231.75.peg.3904   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03750,22,26,34,7,0,2,0,0,0,86,38,84,196,148,200,"fig|536231.75.peg.3905|RIL182_03750   Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03751,5,32,34,1,1,1,0,0,0,33,33,44,154,113,136,"fig|536231.75.peg.3906|RIL182_03751   Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03752,461,882,1762,74,49,73,255,430,217,10001,8573,11893,4458,3637,4450,"fig|536231.75.peg.3907|RIL182_03752   16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3908   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,0,1,0,0,0,0,0,0,0,0,4,0,9,"fig|536231.75.peg.3908   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03753,1616,1958,2398,186,299,183,119,168,52,2701,2403,3552,8926,5907,7601,"fig|536231.75.peg.3909|RIL182_03753   Glucose-6-phosphate isomerase (EC 5.3.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03754,952,1039,753,21,50,30,17,26,11,310,340,316,815,622,662,"fig|536231.75.peg.3910|RIL182_03754   N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03755,564,529,444,13,15,15,0,0,0,40,121,231,371,326,296,"fig|536231.75.peg.3911|RIL182_03755   Glucosamine-6-phosphate deaminase (EC 3.5.99.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03756,783,982,882,32,37,38,11,23,26,279,228,439,712,516,486,"fig|536231.75.peg.3912|RIL182_03756   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03757,514,1414,3452,11,14,4,7,23,0,52,139,198,475,368,493,"fig|536231.75.peg.3913|RIL182_03757   Dihydroxy-acid dehydratase (EC 4.2.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03758,306,636,1633,11,1,3,3,0,0,3,46,31,188,122,113,"fig|536231.75.peg.3914|RIL182_03758   Low-affinity gluconate/H+ symporter GntU   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03759,71,273,460,39,33,54,13,94,11,988,1184,1063,1845,1216,1629,"fig|536231.75.peg.3915|RIL182_03759   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03760,209,274,382,82,99,99,60,120,27,1033,815,1069,5731,4569,5351,"fig|536231.75.peg.3916|RIL182_03760   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03761,136,186,330,34,75,42,63,75,51,821,921,747,1876,1432,1746,"fig|536231.75.peg.3917|RIL182_03761   Vitamin B12 ABC transporter, ATP-binding protein BtuD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03762,140,188,218,12,30,34,12,16,10,374,320,455,1260,849,1102,"fig|536231.75.peg.3918|RIL182_03762   Vitamin B12 ABC transporter, permease protein BtuC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03763,179,370,639,51,57,73,44,97,53,1216,1231,1253,2495,1808,2284,"fig|536231.75.peg.3919|RIL182_03763   Vitamin B12 ABC transporter, substrate-binding protein BtuF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03764,1001,3189,5478,208,317,231,84,142,102,2014,1715,2189,6813,6643,6634,"fig|536231.75.peg.3920|RIL182_03764   Hypothetical domain / Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3) @ Sirohydrochlorin ferrochelatase activity of CbiK (EC 4.99.1.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3921   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",310,699,1089,33,35,23,6,0,0,190,351,282,335,189,160,"fig|536231.75.peg.3921   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03766,929,1148,1291,101,132,86,48,132,71,1488,1301,2323,5532,3876,4741,"fig|536231.75.peg.3922|RIL182_03766   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03767,125,201,332,55,81,76,75,17,36,642,529,634,2660,2165,2605,"fig|536231.75.peg.3923|RIL182_03767   HD domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03768,10,7,8,0,3,1,5,1,0,13,19,11,167,135,136,"fig|536231.75.peg.3924|RIL182_03768   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03769,115,205,328,32,22,30,8,68,43,838,799,657,2250,1551,1806,"fig|536231.75.peg.3925|RIL182_03769   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03770,317,314,498,46,76,53,37,49,13,411,552,619,1779,1054,1756,"fig|536231.75.peg.3926|RIL182_03770   sodium/chloride-dependent transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03771,502,794,974,80,137,94,38,9,14,866,804,1273,3062,2275,2949,"fig|536231.75.peg.3927|RIL182_03771   Sodium:alanine symporter family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03772,478,866,1174,341,330,295,165,291,159,5969,6131,6746,10963,9944,11105,"fig|536231.75.peg.3928|RIL182_03772   Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3929   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3929   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03773,162,298,521,102,88,114,30,80,35,950,941,941,1929,1554,1669,"fig|536231.75.peg.3930|RIL182_03773   Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03774,325,388,556,133,112,161,85,92,15,1243,860,1140,2089,1539,1983,"fig|536231.75.peg.3931|RIL182_03774   Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03775,158,282,292,51,74,87,30,109,13,570,495,656,1545,937,1216,"fig|536231.75.peg.3932|RIL182_03775   Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03776,163,248,372,50,51,90,31,54,8,355,295,610,1571,714,1218,"fig|536231.75.peg.3933|RIL182_03776   Oligopeptide ABC transporter, permease protein OppB (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3934   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,5,0,0,0,0,0,0,0,9,6,0,"fig|536231.75.peg.3934   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03777,911,1548,2551,335,399,456,219,264,187,5150,4957,6202,11895,8692,10773,"fig|536231.75.peg.3935|RIL182_03777   Oligopeptide ABC transporter, substrate-binding protein OppA (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03778,135,233,429,147,171,131,111,135,56,4442,5865,5268,11666,8609,9943,"fig|536231.75.peg.3936|RIL182_03778   HesA/MoeB/ThiF family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03779,182,278,384,147,216,183,243,315,106,7337,6323,8762,15558,11204,13778,"fig|536231.75.peg.3937|RIL182_03779   ATP-utilizing enzyme of the PP-loop superfamily   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03780,88,164,196,93,114,127,25,119,86,1902,2383,2221,3870,3198,3364,"fig|536231.75.peg.3938|RIL182_03780   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03781,118,199,205,68,107,135,82,151,84,1661,1249,2352,3215,2387,2829,"fig|536231.75.peg.3939|RIL182_03781   Phosphoglycolate phosphatase (EC 3.1.3.18)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03782,203,315,434,113,210,149,105,94,68,1210,1286,1338,2628,1708,2183,"fig|536231.75.peg.3940|RIL182_03782   Oxidoreductase, aldo/keto reductase family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03783,256,392,423,224,227,214,54,61,56,1180,1145,1351,3726,2719,3239,"fig|536231.75.peg.3941|RIL182_03783   Cyclic beta-1,2-glucan modification transmembrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03784,12,51,81,6,19,12,38,39,49,1351,954,1688,1349,996,1477.558,"fig|536231.75.peg.3942|RIL182_03784   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03785,148,276,430,22,68,16,44,56,23,847,996,1232,2335,1651,2065,"fig|536231.75.peg.3943|RIL182_03785   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03786,73,91,146,23,19,25,74,62,7,1167,876,1615,2113,1452,1559.023,"fig|536231.75.peg.3944|RIL182_03786   Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03787,8,23,36,4,5,12,0,13,12,65,98,206,216,93,134.977,"fig|536231.75.peg.3945|RIL182_03787   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03788,105,154,218,26,22,48,32,8,10,776,891,1175,3844,3200,3275,"fig|536231.75.peg.3946|RIL182_03788   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03789,15,26,49,4,6,1,26,0,0,99,204,178,788,768,753,"fig|536231.75.peg.3947|RIL182_03789   Two-component response regulator TrxR   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03790,41,60,52,18,8,13,13,30,13,736,721,866,1836.429,1409.734,1642.249,"fig|536231.75.peg.3948|RIL182_03790   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3949|RIL182_03791   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3950   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3950   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03792,34,76,79,6,20,14,7,24,28,1440,900,1561,2401.571,1764.266,2097.751,"fig|536231.75.peg.3951|RIL182_03792   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03793,20,9,14,0,14,12,14,0,8,527,439,493,1550,1187,1335,"fig|536231.75.peg.3952|RIL182_03793   ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03794,17,36,34,9,6,3,0,10,0,818,528,1013,1814,1605,1906,"fig|536231.75.peg.3953|RIL182_03794   ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03796,179,218,198,19,37,45,224,268,155,14330,10534,17217,12148,9604,11108,"fig|536231.75.peg.3954|RIL182_03796   Multiple sugar ABC transporter, substrate-binding protein MsmE   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3955   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
",2,1,0,0,0,0,0,0,0,32,13,6,2,8,6,"fig|536231.75.peg.3955   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03797,1,5,2,2,0,0,0,0,0,24,32,39,69,84,84,"fig|536231.75.peg.3956|RIL182_03797   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03798,0,1,3,2,6,6,0,0,0,27,30,13,171,132,119.681,"fig|536231.75.peg.3957|RIL182_03798   Transcriptional regulator, MarR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03799,17,57,86,5,57,27,0,20,20,169,180,164,1153,788,1011.319,"fig|536231.75.peg.3958|RIL182_03799   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03800,70,111,182,34,39,27,35,29,15,591,751,707,1015,838,1081,"fig|536231.75.peg.3959|RIL182_03800   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03801,0,0,0,0,0,0,0,0,0,1,42,74,14,20,32,"fig|536231.75.peg.3960|RIL182_03801   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3961   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,0,0,0,4,0,0,24,38,53,32,27,1,23,"fig|536231.75.peg.3961   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3962|RIL182_03802   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03803,0,14,2,2,2,11,0,0,0,13,47,68,163,128,130,"fig|536231.75.peg.3963|RIL182_03803   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03804,0,1,0,1,0,1,0,0,0,21,0,17,86,62,45,"fig|536231.75.peg.3964|RIL182_03804   Transcriptional regulator, AcrR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03805,0,0,2,0,0,0,0,4,0,6,20,7,50,28,59,"fig|536231.75.peg.3965|RIL182_03805   Efflux ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3966|RIL182_03806   Efflux ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03807,14.667,44.443,30.667,1,0,3.667,0,8,0,0,353.999,83.083,0,21.704,80.481,"fig|536231.75.peg.3967|RIL182_03807   FOG: Transposase and inactivated derivatives   [Roseburia intestinalis L1-82 | 536231.75]
"
