,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
3393,RIL182_03423,Response regulators consisting of a CheY-like receiver domain and an HD-GYP domain,-,-,COG2199,"metal-dependent phosphohydrolase, HD sub domain",T
3394,RIL182_03424,hypothetical protein,-,-,COG3247,Short repeat of unknown function (DUF308),S
3395,RIL182_03425,Cys-tRNA(Pro) deacylase YbaK,ko:K03976,-,COG2606,Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily,S
3396,RIL182_03426,hypothetical protein,-,-,2E1XD,SseB protein N-terminal domain,S
3397,RIL182_03427,Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),ko:K01537,3.6.3.8,COG0474,"ATPase, P-type (transporting), HAD superfamily, subfamily IC",P
3398,RIL182_03428,hypothetical protein,ko:K03406,-,COG0840,methyl-accepting chemotaxis protein,NT
3399,RIL182_03429,tRNA-Leu,NA,NA,NA,NA,NA
3400,RIL182_03430,tRNA-Tyr,NA,NA,NA,NA,NA
3401,RIL182_03431,Neopullulanase (EC 3.2.1.135),-,-,COG0366,Belongs to the glycosyl hydrolase 13 family,G
3402,RIL182_03432,hypothetical protein,-,-,COG2206,Metal dependent phosphohydrolases with conserved 'HD' motif.,T
3403,RIL182_03433,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4),"ko:K00955,ko:K00956","2.7.1.25,2.7.7.4",COG2895,Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily,H
3404,RIL182_03434,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),"ko:K00390,ko:K00957","1.8.4.10,1.8.4.8,2.7.7.4",COG0175,Phosphoadenosine phosphosulfate reductase family,H
3405,RIL182_03435,Adenylylsulfate reductase beta-subunit (EC 1.8.99.2),ko:K00395,1.8.99.2,COG1146,4Fe-4S binding domain,C
3406,RIL182_03436,Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2),ko:K00394,1.8.99.2,COG1053,FAD binding domain,C
3407,RIL182_03437,Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25),"ko:K02045,ko:K02052",3.6.3.25,COG3842,Part of the ABC transporter complex CysAWTP involved in sulfate thiosulfate import. Responsible for energy coupling to the transport system,E
3408,RIL182_03438,Sulfate transport system permease protein CysW,ko:K02047,-,COG4208,Binding-protein-dependent transport system inner membrane component,P
3409,RIL182_03439,Sulfate transport system permease protein CysT,"ko:K02046,ko:K15496",-,COG0555,Binding-protein-dependent transport system inner membrane component,O
3410,RIL182_03440,Sulfate and thiosulfate binding protein CysP,ko:K02048,-,COG1613,PBP superfamily domain,P
3411,RIL182_03441,Cell division-associated%2C ATP-dependent zinc metalloprotease FtsH,ko:K03798,-,COG0465,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins",O
3412,RIL182_03442,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8),ko:K00760,2.4.2.8,COG0634,Belongs to the purine pyrimidine phosphoribosyltransferase family,F
3413,RIL182_03443,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19),ko:K04075,6.3.4.19,COG0037,"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine",D
3414,RIL182_03444,Stage II sporulation serine phosphatase for sigma-F activation (SpoIIE),ko:K06382,3.1.3.16,COG2208,stage ii sporulation protein e,KT
3415,RIL182_03445,Putative ion-channel protein,ko:K19265,-,COG0667,aldo keto reductase,C
3416,RIL182_03446,Cell division protein DivIC (FtsB)%2C stabilizes FtsL against RasP cleavage,-,-,COG2919,septum formation initiator,D
3417,RIL182_03447,Spore cortex biosynthesis protein,-,-,2EFTM,"Psort location CytoplasmicMembrane, score",S
3418,RIL182_03448,FIG007421: forespore shell protein,-,-,2E3ZZ,Sporulation protein YabP,S
3419,RIL182_03449,Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog),-,-,COG1188,S4 domain protein,J
3420,RIL182_03450,DNA-binding protein HBsu,ko:K03530,-,COG0776,"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions",L
3421,RIL182_03451,hypothetical protein,NA,NA,NA,NA,NA
3422,RIL182_03452,Phosphoglucosamine mutase (EC 5.4.2.10),"ko:K01835,ko:K01840","5.4.2.2,5.4.2.8",COG1109,phosphoglucomutase phosphomannomutase alpha beta alpha domain II,G
3423,RIL182_03453,hypothetical protein,-,-,28JT6,PEGA domain,S
3424,RIL182_03454,Spore coat protein S,"ko:K06331,ko:K06337",-,COG2334,"spore coat protein, CotS",S
3425,RIL182_03455,CCA tRNA nucleotidyltransferase (EC 2.7.7.72),"ko:K00970,ko:K00974","2.7.7.19,2.7.7.72",COG0617,tRNA nucleotidyltransferase poly(A) polymerase,J
3426,RIL182_03456,hypothetical protein,-,-,COG2199,Diguanylate cyclase (GGDEF) domain,T
3427,RIL182_03457,Prolyl-tRNA synthetase (EC 6.1.1.15)%2C archaeal/eukaryal type,ko:K01881,6.1.1.15,COG0442,"Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS",J
3428,RIL182_03458,RNA pseudouridylate synthase%2C group 1,ko:K06180,5.4.99.23,COG0564,Pseudouridine synthase,J
3429,RIL182_03459,hypothetical protein,-,-,28TG6,-,-
3430,RIL182_03460,Two-component transcriptional response regulator%2C LuxR family,-,-,COG0745,response regulator receiver,KT
3431,RIL182_03461,Two-component system sensor histidine kinase,-,-,COG3850,Histidine kinase- DNA gyrase B,T
3432,RIL182_03462,S-adenosylmethionine synthetase (EC 2.5.1.6),ko:K00789,2.5.1.6,COG0192,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",H
3433,RIL182_03463,HD domain protein,-,-,COG2206,"PFAM metal-dependent phosphohydrolase, HD sub domain",T
3434,RIL182_03464,hypothetical protein,-,-,COG3619,"Psort location CytoplasmicMembrane, score",S
3435,RIL182_03465,hypothetical protein,NA,NA,NA,NA,NA
3436,RIL182_03466,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),ko:K00790,2.5.1.7,COG0766,Belongs to the EPSP synthase family. MurA subfamily,M
3437,RIL182_03467,Membrane proteins related to metalloendopeptidases,-,-,COG0739,"Peptidase, M23",M
3438,RIL182_03468,Shikimate kinase I (EC 2.7.1.71),ko:K00891,2.7.1.71,COG0703,Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate,E
3439,RIL182_03469,hypothetical protein,ko:K07533,5.2.1.8,2DCHY,-,-
3440,RIL182_03470,Transcription-repair coupling factor,ko:K03723,-,COG1197,"Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site",L
3441,RIL182_03471,Peptidyl-tRNA hydrolase (EC 3.1.1.29),ko:K01056,3.1.1.29,COG0193,The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis,J
3442,RIL182_03472,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23),ko:K04042,"2.3.1.157,2.7.7.23",COG1207,"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain",M
3443,RIL182_03473,DNA-binding protein SpoVG,ko:K06412,-,COG2088,Could be involved in septation,D
3444,RIL182_03474,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),ko:K00975,2.7.7.27,COG0448,glucose-1-phosphate adenylyltransferase GlgD subunit,G
3445,RIL182_03475,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),ko:K00975,2.7.7.27,COG0448,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans",H
3446,RIL182_03476,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8),ko:K01924,6.3.2.8,COG0773,Belongs to the MurCDEF family,M
3447,RIL182_03477,hypothetical protein,-,-,COG3935,DnaD domain protein,L
3448,RIL182_03478,DNA replication helicase loader DnaC/DnaI,ko:K02315,-,COG1484,DNA replication protein,L
3449,RIL182_03479,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),ko:K00948,2.7.6.1,COG0462,Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P),F
3450,RIL182_03480,hypothetical protein,-,-,2E7V3,-,-
3451,RIL182_03481,Phosphotransferase system%2C HPr-related proteins,ko:K11189,-,COG1925,Phosphocarrier protein (Hpr),G
3452,RIL182_03482,hypothetical protein,-,-,28IKE,"Psort location Cytoplasmic, score 8.87",S
3453,RIL182_03483,FIG01020103: hypothetical protein,-,-,2E5KN,"Psort location Cytoplasmic, score",S
3454,RIL182_03484,Alpha-glucosidase (EC 3.2.1.20),ko:K01187,3.2.1.20,COG1501,Belongs to the glycosyl hydrolase 31 family,G
3455,RIL182_03485,hypothetical protein,-,-,2E45D,-,-
3456,RIL182_03486,ABC transporter%2C substrate-binding protein (cluster 10%2C nitrate/sulfonate/bicarbonate),ko:K02051,-,COG0715,ABC-type nitrate sulfonate bicarbonate transport,P
3457,RIL182_03487,Hydroxymethylpyrimidine ABC transporter%2C transmembrane component,ko:K02050,-,COG0600,ABC-type nitrate sulfonate bicarbonate transport system permease component,P
3458,RIL182_03488,Hydroxymethylpyrimidine ABC transporter%2C ATPase component,ko:K15555,-,COG1116,"ABC-type nitrate sulfonate bicarbonate transport system, ATPase component",P
3459,RIL182_03489,magnesium and cobalt transport protein,ko:K03284,-,COG0598,transport protein CorA,P
3460,RIL182_03490,Cytidylate kinase (EC 2.7.4.25),-,-,COG1102,"Psort location Cytoplasmic, score",F
3461,RIL182_03491,ABC transporter%2C FliJ domain and fused permease subunit,ko:K02004,-,COG0577,FtsX-like permease family,V
3462,RIL182_03492,ABC transporter%2C ATP-binding protein,ko:K02003,-,COG1136,ABC transporter,V
3463,RIL182_03493,Enolase (EC 4.2.1.11),ko:K01689,4.2.1.11,COG0148,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis,G
3464,RIL182_03494,2-Hydroxy-6-Oxo-6-Phenylhexa-2%2C4-Dienoate hydrolase,-,-,COG0596,"Psort location Cytoplasmic, score",S
3465,RIL182_03495,Beta-mannosidase (EC 3.2.1.25),ko:K01192,3.2.1.25,COG3250,Glycosyl hydrolases family 2,G
3466,RIL182_03496,hypothetical protein,-,-,COG1671,"Uncharacterized BCR, YaiI/YqxD family COG1671",S
3467,RIL182_03497,hypothetical protein,NA,NA,NA,NA,NA
3468,RIL182_03498,Tellurium resistance protein TerD,-,-,COG2310,TerD domain,T
3469,RIL182_03499,hypothetical protein,-,-,COG2013,Mitochondrial biogenesis AIM24,S
3470,RIL182_03500,hypothetical protein,-,-,COG0561,hydrolases of the HAD superfamily,S
3471,RIL182_03501,Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),ko:K01537,3.6.3.8,COG0474,"Cation transporter/ATPase, N-terminus",P
3472,RIL182_03502,Tellurium resistance protein TerD,-,-,COG2310,TerD domain,T
3473,RIL182_03503,Tellurium resistance protein TerD,ko:K05795,-,COG2310,TerD domain,T
3474,RIL182_03504,Uncharacterized protein YceH,-,-,COG3853,Toxic anion resistance protein (TelA),P
3475,RIL182_03505,hypothetical protein,-,-,2BVVP,Putative component of 'biosynthetic module',S
3476,RIL182_03506,Rhomboid-like protein,ko:K02441,-,COG0705,Rhomboid family,S
3477,RIL182_03507,Similar to citrate lyase beta subunit,-,-,COG2301,C-C_Bond_Lyase of the TIM-Barrel fold,G
3478,RIL182_03509,putative ATP/GTP-binding protein protein,-,-,COG1358,PELOTA RNA binding domain,J
3479,RIL182_03510,hypothetical protein,-,-,COG0503,Phosphoribosyl transferase,F
3480,RIL182_03511,hypothetical protein,-,-,28M3R,-,-
3481,RIL182_03512,hypothetical protein,-,-,28M3R,-,-
3482,RIL182_03513,hypothetical protein,-,-,28M3R,-,-
3483,RIL182_03514,hypothetical protein,NA,NA,NA,NA,NA
3484,RIL182_03515,hypothetical protein,-,-,COG2020,repeat protein,O
3485,RIL182_03516,Helix-turn-helix motif,-,-,COG1476,Helix-turn-helix XRE-family like proteins,K
3486,RIL182_03517,hypothetical protein,-,-,COG2378,WYL domain,K
3487,RIL182_03518,hypothetical protein,NA,NA,NA,NA,NA
3488,RIL182_03519,FIG01235136: hypothetical protein,-,-,COG5444,nuclease activity,S
3489,RIL182_03520,hypothetical protein,-,-,COG0433,Domain of unknown function DUF87,S
3490,RIL182_03521,hypothetical protein,-,-,COG0699,Dynamin family,S
3491,RIL182_03522,hypothetical protein,NA,NA,NA,NA,NA
3492,RIL182_03523,hypothetical protein,NA,NA,NA,NA,NA
3493,RIL182_03524,hypothetical protein,-,-,COG0699,Dynamin family,S
3494,RIL182_03525,hypothetical protein,-,-,COG0699,Dynamin family,S
3495,RIL182_03526,hypothetical protein,ko:K06946,-,COG3596,Interferon-inducible GTPase (IIGP),S
3496,RIL182_03527,hypothetical protein,NA,NA,NA,NA,NA
3497,RIL182_03528,Sulfate permease,ko:K03321,-,COG0659,Sulfate transporter,P
3498,RIL182_03529,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),ko:K01740,2.5.1.49,COG2873,Cys/Met metabolism PLP-dependent enzyme,H
3499,RIL182_03530,diguanylate cyclase/phosphodiesterase (GGDEF %26 EAL domains) with PAS/PAC sensor(s),NA,NA,NA,NA,NA
3500,RIL182_03531,Carbonic anhydrase-like protein MJ0304,ko:K02617,-,COG0663,Bacterial transferase hexapeptide,C
3501,RIL182_03532,Cytidylate kinase (EC 2.7.4.25),-,-,COG1102,"Psort location Cytoplasmic, score 8.87",F
3502,RIL182_03533,FIG138056: a glutathione-dependent thiol reductase,ko:K00537,1.20.4.1,COG1393,ArsC family,P
3503,RIL182_03534,hypothetical protein,-,-,COG1502,ORF6N domain,I
3504,RIL182_03535,hypothetical protein,NA,NA,NA,NA,NA
3505,RIL182_03536,Acetyltransferase%2C GNAT family,-,-,COG1246,Acetyltransferase (GNAT) domain,E
3506,RIL182_03537,Mobile element protein,-,-,COG2801,DDE domain,L
3507,RIL182_03538,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
3508,RIL182_03539,hypothetical protein,-,-,28HKG,"Psort location Cytoplasmic, score",S
3509,RIL182_03540,Site-specific recombinase,ko:K06400,-,COG1961,"Psort location Cytoplasmic, score",L
3510,RIL182_03541,hypothetical protein,-,-,2BJ3C,-,-
3511,RIL182_03542,hypothetical protein,-,-,COG0454,acetyltransferase,K
3512,RIL182_03543,hypothetical protein,-,-,2E3ZC,"Psort location Cytoplasmic, score",S
3513,RIL182_03544,FIG00645368: hypothetical protein,-,-,COG0457,"Psort location Cytoplasmic, score",K
3514,RIL182_03545,ABC transporter%2C ATP-binding protein,ko:K01990,-,COG1131,"Psort location CytoplasmicMembrane, score",V
3515,RIL182_03546,hypothetical protein,-,-,2B7SS,"Psort location CytoplasmicMembrane, score 9.99",S
3516,RIL182_03547,hypothetical protein,ko:K01992,-,COG1277,"Psort location CytoplasmicMembrane, score",S
3517,RIL182_03548,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
3518,RIL182_03549,hypothetical protein,ko:K20487,2.7.13.3,COG0642,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain",T
3519,RIL182_03550,Two-component transcriptional response regulator%2C LuxR family,ko:K20488,-,COG0745,"Psort location Cytoplasmic, score 9.98",K
3520,RIL182_03551,hypothetical protein,ko:K18640,-,2DB8G,-,-
3521,RIL182_03552,hypothetical protein,-,-,28ZZK,"Psort location Cytoplasmic, score",S
3522,RIL182_03553,hypothetical protein,-,-,COG1349,Replication initiator protein A (RepA) N-terminus,GK
3523,RIL182_03554,Helicase loader DnaI,ko:K02315,-,COG1484,"Psort location Cytoplasmic, score",L
3524,RIL182_03555,FIG00645363: hypothetical protein,-,-,2E6BP,"Psort location Cytoplasmic, score",S
3525,RIL182_03556,MobA/MobL protein,-,-,COG2433,MobA MobL family protein,S
3526,RIL182_03557,hypothetical protein,-,-,COG4249,Caspase domain,S
3527,RIL182_03558,hypothetical protein,-,-,2C5R4,Transposon-encoded protein TnpV,S
3528,RIL182_03559,RNA methyltransferase%2C TrmA family,ko:K03215,2.1.1.190,COG2265,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family,J
3529,RIL182_03560,Plasmid replication DNA element cmp binding-factor 1,ko:K03698,-,COG3481,domain protein,S
3530,RIL182_03561,Serine protease%2C DegP/HtrA%2C do-like (EC 3.4.21.-),ko:K04771,3.4.21.107,COG0265,PDZ DHR GLGF domain protein,O
3531,RIL182_03562,Recombination inhibitory protein MutS2,ko:K07456,-,COG1193,Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity,L
3532,RIL182_03563,Two-component transcriptional response regulator%2C OmpR family,-,-,COG0745,response regulator receiver,T
3533,RIL182_03564,Two-component system sensor histidine kinase,-,-,COG5000,Histidine kinase,T
3534,RIL182_03565,abortive infection protein%2C putative,-,-,COG1106,"AAA domain, putative AbiEii toxin, Type IV TA system",S
3535,RIL182_03566,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),ko:K01897,6.2.1.3,COG0318,COG COG0318 Acyl-CoA synthetases (AMP-forming) AMP-acid ligases II,IQ
3536,RIL182_03567,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),-,-,COG0318,AMP-binding enzyme,IQ
3537,RIL182_03568,hypothetical protein,NA,NA,NA,NA,NA
3538,RIL182_03569,Mobile element protein,-,-,COG3415,COG COG3335 Transposase and inactivated derivatives,L
3539,RIL182_03570,Mobile element protein,-,-,COG3335,COG COG3335 Transposase and inactivated derivatives,L
3540,RIL182_03571,hypothetical protein,NA,NA,NA,NA,NA
3541,RIL182_03572,hypothetical protein,NA,NA,NA,NA,NA
3542,RIL182_03573,hypothetical protein,ko:K01897,6.2.1.3,COG0318,COG COG0318 Acyl-CoA synthetases (AMP-forming) AMP-acid ligases II,IQ
3543,RIL182_03574,hypothetical protein,NA,NA,NA,NA,NA
3544,RIL182_03575,hypothetical protein,NA,NA,NA,NA,NA
